id,rotulo,direccion,municipio,provincia,lat,lon,horario,venta
7703,CEPSA,"CARRETERA TF-1 KM. 44,2",Arico,SANTA CRUZ DE TENERIFE,28.130972,-16.463528,L-D: 24H,P
7704,PLENERGY,"CALLE ANSITE, 33",Agüimes,PALMAS (LAS),27.879611,-15.429972,L-D: 24H,P
7705,REPSOL,CARRETERA TF-1 KM. 54,Granadilla de Abona,SANTA CRUZ DE TENERIFE,28.072583,-16.535000,L-D: 24H,P
7707,REPSOL,"CALLE GREGORIO MARAÑON, S/N",Palmas de Gran Canaria (Las),PALMAS (LAS),28.101250,-15.440667,L-D: 24H,P
7709,REPSOL,"CARRETERA TF-47 KM. 2,7",Adeje,SANTA CRUZ DE TENERIFE,28.134028,-16.768083,L-D: 06:00-22:00,P
7710,REPSOL,"AVENIDA DEL ATLANTICO, S/N",Santa Lucía de Tirajana,PALMAS (LAS),27.841250,-15.440833,L-D: 24H,P
7711,REPSOL,CR  GC-1 P.K. 8 M.I. (SALIDA A PARQ,Telde,PALMAS (LAS),28.011722,-15.386667,L-S: 06:00-23:00; D: 07:00-22:00,P
7713,REPSOL,"PG IND. AÑAZA PARC-39, S.N.",Santa Cruz de Tenerife,SANTA CRUZ DE TENERIFE,28.427472,-16.301000,L-D: 06:00-22:00,P
7714,BP CALETA DE FUSTE,CR  FV-2 P.K. 11 M.D. ( PUERTO DEL,Antigua,PALMAS (LAS),28.387806,-13.864722,L-D: 24H,P
7715,SPL,"CARRETERA CR LZ-2 ARRECIFE-YAIZA,P.K.6,7KM KM. 6,7",Tías,PALMAS (LAS),28.955056,-13.631278,L-D: 05:00-22:00,P
7716,SPL,"CARRETERA CR LZ-2 ARRECIFE-YAIZA,P.K.6,7KM KM. 6,7",Tías,PALMAS (LAS),28.954556,-13.632278,L-D: 07:00-22:00,P
7717,H2GO MUELLE CHICO,"CALLE MUELLE DARSENA PESQUERA, S/N",Puerto del Rosario,PALMAS (LAS),28.495639,-13.859889,L-D: 06:00-22:00,P
